word;transcription;translation;unit;topic;form
It’s half past …;ɪts hɑːf pɑːst;Пів на ….;6;TELLING THE TIME (2);5
It’s … o’clock;ɪts əˈklɒk;Зараз … година;6;TELLING THE TIME (2);5
It’s quarter to …;ɪts ˈkwɔːtə tʊ;За чверть …;6;TELLING THE TIME (2);5
It’s ten to …;ɪts ten tʊ;За 10 хвилин…;6;TELLING THE TIME (2);5
athletics;æθˈletɪks;легка атлетика;7;AFTER-SCHOOL ACTIVITIES;5
board games;bɔːd ˌɡeɪmz;настільні ігри;7;AFTER-SCHOOL ACTIVITIES;5
coding;ˈkəʊdɪŋ;кодування;7;AFTER-SCHOOL ACTIVITIES;5
cookery;ˈkʊkəri;кулінарія;7;AFTER-SCHOOL ACTIVITIES;5
drama;ˈdrɑːmə;театральне мистецтво;7;AFTER-SCHOOL ACTIVITIES;5
film;fɪlm;фільм;7;AFTER-SCHOOL ACTIVITIES;5
horse riding;ˈhɔːs ˌraɪdɪŋ;верхова їзда;7;AFTER-SCHOOL ACTIVITIES;5
Italian;ɪˈtæljən;італійська мова;7;AFTER-SCHOOL ACTIVITIES;5
judo;ˈdʒuːdəʊ;дзюдо;7;AFTER-SCHOOL ACTIVITIES;5
yoga;ˈjəʊɡə;йога;7;AFTER-SCHOOL ACTIVITIES;5
carry the shopping;ˈkæri ðə ˈʃɒpɪŋ;нести куплені продукти;7;JOBS AROUND THE HOUSE;5
clean the bath;kliːn ðə bɑːθ;мити ванну;7;JOBS AROUND THE HOUSE;5
cook dinner;kʊk ˈdɪnə;готувати вечерю;7;JOBS AROUND THE HOUSE;5
do the washing-up;duː ðə ˈwɒʃɪŋ ʌp;мити посуд;7;JOBS AROUND THE HOUSE;5
feed the cat;fiːd ðə kæt;годувати кота;7;JOBS AROUND THE HOUSE;5
make your bed;meɪk jə bed;заправляти ліжко;7;JOBS AROUND THE HOUSE;5
tidy your room;ˈtaɪdi jə ruːm;прибирати у кімнаті;7;JOBS AROUND THE HOUSE;5
walk the dog;wɔːk ðə dɒɡ;вигулювати собаку;7;JOBS AROUND THE HOUSE;5
badminton;ˈbædmɪntən;бадмінтон;10;SPORTS AND ACTIVITIES;5
baseball;ˈbeɪsbɔːl;бейсбол;10;SPORTS AND ACTIVITIES;5
basketball;ˈbɑːskɪtbɔːl;баскетбол;10;SPORTS AND ACTIVITIES;5
dancing;ˈdɑːnsɪŋ;танці;10;SPORTS AND ACTIVITIES;5
football;ˈfʊtbɔːl;футбол;10;SPORTS AND ACTIVITIES;5
hockey;ˈhɒki;хокей;10;SPORTS AND ACTIVITIES;5
running;ˈrʌnɪŋ;біг;10;SPORTS AND ACTIVITIES;5
swimming;ˈswɪmɪŋ;плавання;10;SPORTS AND ACTIVITIES;5
table tennis;ˈteɪbl tenɪs;настільний теніс;10;SPORTS AND ACTIVITIES;5
tennis;ˈtenɪs;теніс;10;SPORTS AND ACTIVITIES;5
biscuits;ˈbɪskɪts;печиво;10;HEALTH;5
bread;bred;хліб;10;HEALTH;5
butter;ˈbʌtə;вершкове масло;10;HEALTH;5
cake;keɪk;торт, тістечко;10;HEALTH;5
chocolate;ˈtʃɒklət;шоколад;10;HEALTH;5
dancing;ˈdɑːnsɪŋ;танці;10;HEALTH;5
feel better;fiːl ˈbetə;почуватися краще;10;HEALTH;5
feel fine;fiːl faɪn;почуватися добре;10;HEALTH;5
feel well;fiːl wel;мати гарне самопочуття;10;HEALTH;5
good for;ɡʊd fɔː;корисно;10;HEALTH;5
not good for;nɒt ɡʊd fɔː;не корисно;10;HEALTH;5
oranges;ˈɒrɪndʒɪz;апельсини;10;HEALTH;5
vegetables;ˈvedʒtəblz;овочі;10;HEALTH;5
walking to school;ˈwɔːkɪŋ tə skuːl;піша ходьба до школи;10;HEALTH;5
water;ˈwɔːtə;вода;10;HEALTH;5
doctor;ˈdɒktə;лікар (-ка);10;JOBS;5
farmer;ˈfɑːmə;фермер (-ка);10;JOBS;5
firefighter;ˈfaɪəfaɪtə;пожежник (-ця);10;JOBS;5
footballer;ˈfʊtbɔːlə;футболіст (-ка);10;JOBS;5
journalist;ˈdʒɜːnəlɪst;журналіст (-ка);10;JOBS;5
lorry driver;ˈlɒri ˈdraɪvə;далекобійник (-ця);10;JOBS;5
musician;mjuːˈzɪʃən;музикант (-ка);10;JOBS;5
nurse;nɜːs;медсестра, медбрат;10;JOBS;5
photographer;fəˈtɒɡrəfə;фотограф (-иня);10;JOBS;5
waiter;ˈweɪtə;офіціант;10;JOBS;5
waitress;ˈweɪtrəs;офіціантка;10;JOBS;5
bottle;ˈbɒtəl;пляшка;10;IN A CAFÉ;5
bowl;bəʊl;миска;10;IN A CAFÉ;5
cup;kʌp;чашка;10;IN A CAFÉ;5
fork;fɔːk;виделка;10;IN A CAFÉ;5
glass;ɡlɑːs;склянка;10;IN A CAFÉ;5
knife;naɪf;ніж;10;IN A CAFÉ;5
pepper;ˈpepə;перець;10;IN A CAFÉ;5
plate;pleɪt;тарілка;10;IN A CAFÉ;5
salt;sɒlt;сіль;10;IN A CAFÉ;5
spoon;spuːn;ложка;10;IN A CAFÉ;5
sugar;ˈʃʊɡə;цукор;10;IN A CAFÉ;5
band;bænd;музичний гурт;12;ENTERTAINMENT;5
concert;ˈkɒnsət;концерт;12;ENTERTAINMENT;5
famous person;ˈfeɪməs ˈpɜːsən;відома людина;12;ENTERTAINMENT;5
fans;fænz;фанати;12;ENTERTAINMENT;5
movies;ˈmuːviz;кінострічки;12;ENTERTAINMENT;5
newspaper;ˈnjuːzˌpeɪpə;газета;12;ENTERTAINMENT;5
song;sɒŋ;пісня;12;ENTERTAINMENT;5
TV show;ˌtiːˈviː ʃəʊ;ТВ-шоу;12;ENTERTAINMENT;5
digital camera;ˈdɪdʒɪtəl ˈkæmrə;цифровий фотоапарат;12;TECHNOLOGY;5
fitness tracker;ˈfɪtnəs ˌtrækə;фітнес-браслет;12;TECHNOLOGY;5
laptop;ˈlæptɒp;ноутбук;12;TECHNOLOGY;5
smart speaker;smɑːt ˈspiːkə;розумна колонка;12;TECHNOLOGY;5
smartphone;ˈsmɑːtfəʊn;смартфон;12;TECHNOLOGY;5
tablet;ˈtæblət;планшет;12;TECHNOLOGY;5
plane;pleɪn;літак;11;TECHNOLOGY;5
taxi;ˈtæksi;таксі;11;TECHNOLOGY;5
train;treɪn;потяг;11;TECHNOLOGY;5
tram;træm;трамвай;11;TECHNOLOGY;5
Underground;ˈʌndəɡraʊnd;метро;11;TECHNOLOGY;5
trolleybus;ˈtrɒlɪbʌs;тролейбус;11;TECHNOLOGY;5
funicular;fjʊˈnɪkjʊlə;фунікулер;11;TECHNOLOGY;5
go out with friends;ɡəʊ aʊt wɪð frendz;гуляти з друзями;11;PHRASES FOR GOING OUT;5
go running;ɡəʊ ˈrʌnɪŋ;займатися бігом;11;PHRASES FOR GOING OUT;5
go shopping;ɡəʊ ˈʃɒpɪŋ;ходити по магазинах;11;PHRASES FOR GOING OUT;5
go swimming;ɡəʊ ˈswɪmɪŋ;займатися плаванням;11;PHRASES FOR GOING OUT;5
go to a museum;ɡəʊ tə ə mjuːˈziːəm;ходити до музею;11;PHRASES FOR GOING OUT;5
go to a restaurant;ɡəʊ tə ə ˈrestrɒnt;ходити до ресторану;11;PHRASES FOR GOING OUT;5
go to the park;ɡəʊ tə ðə pɑːk;ходити до парку;11;PHRASES FOR GOING OUT;5
meet friends;miːt frendz;зустрічатися з друзями;11;PHRASES FOR GOING OUT;5
see a film;siː ə fɪlm;переглядати фільм;11;PHRASES FOR GOING OUT;5
visit a museum;ˈvɪzɪt ə mjuːˈziːəm;відвідувати музей;11;PHRASES FOR GOING OUT;5
visit friends;ˈvɪzɪt frendz;відвідувати друзів;11;PHRASES FOR GOING OUT;5
bank;bæŋk;банк;11;PHRASES FOR GOING OUT;5
cinema;ˈsɪnəmə;кінотеатр;11;PHRASES FOR GOING OUT;5
hospital;ˈhɒspɪtəl;лікарня;11;PHRASES FOR GOING OUT;5
hotel;həʊˈtel;готель;11;PHRASES FOR GOING OUT;5
museum;mjuːˈziːəm;музей;11;PHRASES FOR GOING OUT;5
park;pɑːk;парк;11;PHRASES FOR GOING OUT;5
restaurant;ˈrestrɒnt;ресторан;11;PHRASES FOR GOING OUT;5
station;ˈsteɪʃən;залізнична станція;11;PHRASES FOR GOING OUT;5
supermarket;ˈsuːpəˌmɑːkɪt;супермаркет;11;PHRASES FOR GOING OUT;5
university;ˌjuːnɪˈvɜːsəti;університет;11;PHRASES FOR GOING OUT;5
beautiful;ˈbjuːtɪfəl;красивий;11;ADJECTIVES: PLACES;5
cheap;tʃiːp;дешевий;11;ADJECTIVES: PLACES;5
expensive;ɪkˈspensɪv;дорогий;11;ADJECTIVES: PLACES;5
great;ɡreɪt;чудовий;11;ADJECTIVES: PLACES;5
important;ɪmˈpɔːtənt;важливий;11;ADJECTIVES: PLACES;5
interesting;ˈɪntrəstɪŋ;цікавий;11;ADJECTIVES: PLACES;5
little;ˈlɪtl;малий;11;ADJECTIVES: PLACES;5
safe;seɪf;безпечний;11;ADJECTIVES: PLACES;5
tall;tɔːl;високий;11;ADJECTIVES: PLACES;5
bike;baɪk;велосипед;11;TRANSPORT;5
boat;bəʊt;човен;11;TRANSPORT;5
bus;bʌs;автобус;11;TRANSPORT;5
car;kɑː;машина;11;TRANSPORT;5
coach;kəʊtʃ;туристичний автобус;11;TRANSPORT;5
birthday card;ˈbɜːθdeɪ kɑːd;листівка до дня народження;13;SHOPPING;5
diary;ˈdaɪəri;щоденник;13;SHOPPING;5
paint;peɪnt;фарба;13;SHOPPING;5
paper;ˈpeɪpə;папір;13;SHOPPING;5
perfume;ˈpɜːfjuːm;парфуми;13;SHOPPING;5
plant;plɑːnt;рослина;13;SHOPPING;5
scissors;ˈsɪzəz;ножиці;13;SHOPPING;5
stamps;stæmps;марки;13;SHOPPING;5
sweets;swiːts;цукерки, солодощі;13;SHOPPING;5
rucksack;ˈrʌksæk;рюкзак;13;SHOPPING;5
toothbrush;ˈtuːθbrʌʃ;зубна щітка;13;SHOPPING;5
umbrella;ʌmˈbrelə;парасолька;13;SHOPPING;5
cent;sent;цент;13;MONEY AND PRICES;5
dollar;ˈdɒlə;долар;13;MONEY AND PRICES;5
euro;ˈjʊərəʊ;євро;13;MONEY AND PRICES;5
pence;pens;пенс;13;MONEY AND PRICES;5
pound;paʊnd;фунт стерлінгів;13;MONEY AND PRICES;5
hryvnia;ˈhrɪvnjɑː;гривня;13;MONEY AND PRICES;5
digital watch;ˈdɪdʒɪtəl wɒtʃ;цифровий годинник;16;CLOTHES;5
dress;dres;сукня;16;CLOTHES;5
glasses;ˈɡlɑːsɪz;окуляри;16;CLOTHES;5
jacket;ˈdʒækɪt;куртка, жакет;16;CLOTHES;5
jeans;dʒiːnz;джинси;16;CLOTHES;5
shirt;ʃɜːt;сорочка;16;CLOTHES;5
shoes;ʃuːz;туфлі, взуття;16;CLOTHES;5
skirt;skɜːt;спідниця;16;CLOTHES;5
trousers;ˈtraʊzəz;штани;16;CLOTHES;5
T-shirt;ˈtiːʃɜːt;футболка;16;CLOTHES;5
beautiful eyes;ˈbjuːtɪfəl aɪz;красиві очі;16;PHRASES: PEOPLE;5
big ears;bɪɡ ɪəz;великі вуха;16;PHRASES: PEOPLE;5
a brown beard;ə braʊn bɪəd;каштанова борода;16;PHRASES: PEOPLE;5
dark hair;dɑːk heə;темне волосся;16;PHRASES: PEOPLE;5
fat;fæt;повний, огрядний;16;PHRASES: PEOPLE;5
long hair;lɒŋ heə;довге волосся;16;PHRASES: PEOPLE;5
old;əʊld;старий;16;PHRASES: PEOPLE;5
a red nose;ə red nəʊz;червоний ніс;16;PHRASES: PEOPLE;5
short;ʃɔːt;низький на зріст;16;PHRASES: PEOPLE;5
short hair;ʃɔːt heə;коротке волосся;16;PHRASES: PEOPLE;5
slim;slɪm;стрункий;16;PHRASES: PEOPLE;5
tall;tɔːl;високий на зріст;16;PHRASES: PEOPLE;5
young;jʌŋ;молодий;16;PHRASES: PEOPLE;5
autumn;ˈɔːtəm;осінь;15;WEATHER;5
cold;kəʊld;холодний;15;WEATHER;5
hot;hɒt;жаркий;15;WEATHER;5
rain;reɪn;дощ;15;WEATHER;5
snow;snəʊ;сніг;15;WEATHER;5
spring;sprɪŋ;весна;15;WEATHER;5
summer;ˈsʌmə;літо;15;WEATHER;5
sun;sʌn;сонце;15;WEATHER;5
warm;wɔːm;теплий;15;WEATHER;5
wind;wɪnd;вітер;15;WEATHER;5
winter;ˈwɪntə;зима;15;WEATHER;5
catch;kætʃ;сідати (на автобус);15;HOLIDAYS;5
come;kʌm;приходити;15;HOLIDAYS;5
drive;draɪv;керувати автівкою;15;HOLIDAYS;5
fly;flaɪ;літати;15;HOLIDAYS;5
get;ɡet;добиратися;15;HOLIDAYS;5
hotel;həʊˈtel;готель;15;HOLIDAYS;5
leave;liːv;від’їжджати;15;HOLIDAYS;5
stay;steɪ;залишатися, зупинятися;15;HOLIDAYS;5
tent;tent;намет;15;HOLIDAYS;5
travel;ˈtrævəl;подорожувати;15;HOLIDAYS;5
visit;ˈvɪzɪt;відвідати;15;HOLIDAYS;5
beach;biːtʃ;пляж;18;THE NATURAL WORLD;5
countryside;ˈkʌntrɪsaɪd;сільська місцевість;18;THE NATURAL WORLD;5
flowers;ˈflaʊəz;квіти;18;THE NATURAL WORLD;5
forest;ˈfɒrɪst;ліс;18;THE NATURAL WORLD;5
garden;ˈɡɑːdən;сад;18;THE NATURAL WORLD;5
grass;ɡrɑːs;трава;18;THE NATURAL WORLD;5
river;ˈrɪvə;річка;18;THE NATURAL WORLD;5
sea;siː;море;18;THE NATURAL WORLD;5
tree;triː;дерево;18;THE NATURAL WORLD;5
amazing;əˈmeɪzɪŋ;вражаючий;18;ADJECTIVES: OPINIONS;5
attractive;əˈtræktɪv;привабливий;18;ADJECTIVES: OPINIONS;5
exciting;ɪkˈsaɪtɪŋ;захоплюючий;18;ADJECTIVES: OPINIONS;5
fantastic;fænˈtæstɪk;фантастичний;18;ADJECTIVES: OPINIONS;5
popular;ˈpɒpjələ;відомий;18;ADJECTIVES: OPINIONS;5
unusual;ʌnˈjuːʒuəl;незвичайний, дивний;18;ADJECTIVES: OPINIONS;5
wonderful;ˈwʌndəfəl;чудовий;18;ADJECTIVES: OPINIONS;5
bear;beə;ведмідь;18;WILD ANIMALS;5
crocodile;ˈkrɒkədaɪl;крокодил;18;WILD ANIMALS;5
elephant;ˈelɪfənt;слон;18;WILD ANIMALS;5
giraffe;dʒɪˈrɑːf;жирафа;18;WILD ANIMALS;5
kangaroo;ˌkæŋɡəˈruː;кенгуру;18;WILD ANIMALS;5
leopard;ˈlepəd;леопард;18;WILD ANIMALS;5
monkey;ˈmʌŋki;мавпа;18;WILD ANIMALS;5
snake;sneɪk;змія;18;WILD ANIMALS;5
tiger;ˈtaɪɡə;тигр;18;WILD ANIMALS;5
zebra;ˈzebrə;зебра;18;WILD ANIMALS;5
bird;bɜːd;пташка;18;PETS AND FARM ANIMALS;5
cat;kæt;кіт;18;PETS AND FARM ANIMALS;5
cow;kaʊ;корова;18;PETS AND FARM ANIMALS;5
